date,tournament,tournament_url,position,player,deck,decklist_url
2026-03-01,Legacy Challenge 32 2026-03-01 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-03-01-1,1st,Vash963,The EPIC Storm,https://www.mtggoldfish.com/deck/7657866
2026-03-01,Legacy Challenge 32 2026-03-01,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-03-01,1st,manohito,Oops! All Spells,https://www.mtggoldfish.com/deck/7656818
2026-03-01,Legacy Challenge 32 2026-03-01 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-03-01-1,2nd,wingzerofnc,Sneak and Show,https://www.mtggoldfish.com/deck/7657847
2026-03-01,Legacy Challenge 32 2026-03-01,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-03-01,2nd,MyPotatoes,LED Dredge,https://www.mtggoldfish.com/deck/7656822
2026-03-01,Legacy Challenge 32 2026-03-01 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-03-01-1,3rd,bcs8995,WURG,https://www.mtggoldfish.com/deck/7657845
2026-03-01,Legacy Challenge 32 2026-03-01,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-03-01,3rd,nekoyama2,Dimir Control,https://www.mtggoldfish.com/deck/7656824
2026-03-01,Legacy Challenge 32 2026-03-01 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-03-01-1,4th,Bawer,Oops! All Spells,https://www.mtggoldfish.com/deck/7657865
2026-03-01,Legacy Challenge 32 2026-03-01,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-03-01,4th,Will_Split,Painter,https://www.mtggoldfish.com/deck/7656827
2026-03-01,Legacy Challenge 32 2026-03-01 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-03-01-1,5th,ecobaronen,Affinity Stompy,https://www.mtggoldfish.com/deck/7657840
2026-03-01,Legacy Challenge 32 2026-03-01,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-03-01,5th,snoopy-magic,Sneak and Show,https://www.mtggoldfish.com/deck/7656807
2026-03-01,Legacy Challenge 32 2026-03-01 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-03-01-1,6th,SuperCow12653,UBG,https://www.mtggoldfish.com/deck/7657846
2026-03-01,Legacy Challenge 32 2026-03-01,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-03-01,6th,wowqqqa,Dimir Tempo,https://www.mtggoldfish.com/deck/7656815
2026-03-01,Legacy Challenge 32 2026-03-01 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-03-01-1,7th,xfile,Dimir Tempo,https://www.mtggoldfish.com/deck/7657852
2026-03-01,Legacy Challenge 32 2026-03-01,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-03-01,7th,jibeta,Red Stompy,https://www.mtggoldfish.com/deck/7656802
2026-03-01,Legacy Challenge 32 2026-03-01 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-03-01-1,8th,ehstar,Azorius Stoneblade,https://www.mtggoldfish.com/deck/7657856
2026-03-01,Legacy Challenge 32 2026-03-01,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-03-01,8th,EsperWTB,Izzet Delver,https://www.mtggoldfish.com/deck/7656821
2026-02-28,Legacy Challenge 32 2026-02-28 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-28-1,1st,snoopy-magic,Sneak and Show,https://www.mtggoldfish.com/deck/7655878
2026-02-28,Legacy Challenge 32 2026-02-28,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-28,1st,snoopy-magic,Sneak and Show,https://www.mtggoldfish.com/deck/7654965
2026-02-28,Legacy Challenge 32 2026-02-28 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-28-1,2nd,kyataoka,Beanstalk Control (Non-Yorion),https://www.mtggoldfish.com/deck/7655887
2026-02-28,Legacy Challenge 32 2026-02-28,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-28,2nd,XanaZero,Painter,https://www.mtggoldfish.com/deck/7654958
2026-02-28,Legacy Challenge 32 2026-02-28 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-28-1,3rd,PekkaChu,Dimir Tempo,https://www.mtggoldfish.com/deck/7655890
2026-02-28,Legacy Challenge 32 2026-02-28,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-28,3rd,silencsong,Oops! All Spells,https://www.mtggoldfish.com/deck/7654963
2026-02-28,Legacy Challenge 32 2026-02-28 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-28-1,4th,m_himukai,Doomsday,https://www.mtggoldfish.com/deck/7655885
2026-02-28,Legacy Challenge 32 2026-02-28,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-28,4th,Geodude_Jared,Infect,https://www.mtggoldfish.com/deck/7654980
2026-02-28,Legacy Challenge 32 2026-02-28 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-28-1,5th,wumbowizard,Doomsday,https://www.mtggoldfish.com/deck/7655875
2026-02-28,Legacy Challenge 32 2026-02-28,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-28,5th,Pankakese,Beseech Storm,https://www.mtggoldfish.com/deck/7654962
2026-02-28,Legacy Challenge 32 2026-02-28 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-28-1,6th,Venom1,Dimir Tempo,https://www.mtggoldfish.com/deck/7655871
2026-02-28,Legacy Challenge 32 2026-02-28,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-28,6th,SiL3nTGoaT,Red Stompy,https://www.mtggoldfish.com/deck/7654983
2026-02-28,Legacy Challenge 32 2026-02-28 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-28-1,7th,DarthSyhr,Dimir Tempo,https://www.mtggoldfish.com/deck/7655876
2026-02-28,Legacy Challenge 32 2026-02-28,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-28,7th,azmyk1231,Grixis Tempo,https://www.mtggoldfish.com/deck/7654964
2026-02-28,Legacy Challenge 32 2026-02-28 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-28-1,8th,Scooby_Snacks,Colorless Cloudpost,https://www.mtggoldfish.com/deck/7655894
2026-02-28,Legacy Challenge 32 2026-02-28,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-28,8th,jankyb,Jeskai Stoneblade,https://www.mtggoldfish.com/deck/7654957
